year,ISG,TO,P_GDP,P_GDPb,P_GDPl,FX,EI,EIb,EIl,TI,EIc
2010,18.8664652009736,58.5464880734266,39435.8399018505,36340.7338744538,27629.5602015506,0.6471793455601651,0.08192081090746481,0.08889792910449601,0.11692607337974364,21929.0,0.08315
2011,18.658090450323698,62.3048541255971,42038.500479034905,37161.4906866096,27836.6507122363,0.6241408357404951,0.07070061863283242,0.07997924559402414,0.10677103438158628,22259.0,0.076065
2012,18.626297288884498,61.1224180512883,42462.7149069427,38311.846077224305,28052.599739718702,0.633046988857327,0.07165947390303723,0.07942336698139674,0.10846965482553464,23235.0,0.076962
2013,18.8170308325697,61.1818356789624,43444.5648427389,39971.0253628526,28461.581829817,0.639660577613477,0.06877046160566916,0.07474671343480786,0.10497318091303676,22938.0,0.074347
2014,18.359484930965397,58.39839008702639,47417.6350484639,41259.0009441734,28984.5313400552,0.607729626878255,0.05856142119224957,0.06730274690293044,0.09580434699580627,23040.0,0.067965
2015,18.1416206200023,56.6830960052084,44966.10192526651,42509.8881664337,29432.3587203529,0.654545478931426,0.061468082390784176,0.06501969723169375,0.09390956682052627,22801.0,0.066999
2016,17.5811421718795,58.498285374088105,41074.1672796521,43543.5878330358,29783.4928093081,0.7406344636970841,,,,22059.0,0.064735
2017,17.5626198612036,61.945138866429794,40361.4173832159,45378.9977418279,30134.185122694904,0.776976682344123,,,,22072.0,0.063161
2018,17.5092674876815,61.7765075378058,42943.9022698053,45973.57350441981,30354.10055027,0.749531540259847,,,,20941.0,0.061764
2019,,,,,,,,,,,
