Country,Year,ENI,POP,URB,AFL,TI,TS,CTS,KAOPEN
FRA,2006,-2.0466406483864605,4.755238320485162,4.348689578812867,10.386820472813046,3.299974763674805,-0.5779733334396121,1.5503837817128898,2.333585023880005
FRA,2007,-2.1141159347091256,4.761425294244403,4.351838009135277,10.436638197143942,3.285638259975587,-0.572333070666968,1.5528568384287065,2.333585023880005
FRA,2008,-2.1445006485319418,4.767013837829566,4.3550150854270315,10.465821441869009,3.2388842763778025,-0.5551767047589595,1.5457582586695993,2.333585023880005
FRA,2009,-2.1826481720150723,4.772158732868686,4.358207702813328,10.454824740934255,3.188514933565379,-0.683940673798648,1.4342898715609405,2.333585023880005
FRA,2010,-2.1909889728512604,4.777099092383055,4.361428440998676,10.48924175414935,3.238556970701574,-0.6002436930285695,1.4163985319261292,2.333585023880005
FRA,2011,-2.27544417981408,4.781935679336143,4.364651558489792,10.530511987867754,3.244160269772959,-0.5311886088524695,1.4695932462688621,2.333585023880005
FRA,2012,-2.2845048340526493,4.7867757305338365,4.3679023550033635,10.536861421090137,3.2320117333993514,-0.5158036742448798,1.4160685802063555,2.333585023880005
FRA,2013,-2.333117256780292,4.791923575278529,4.371155254785246,10.584659666191593,3.242020214346255,-0.5147657914597373,1.43714536459683,2.333585023880005
FRA,2014,-2.3952597780034326,4.796660614053299,4.374422798647149,10.600228936909286,3.2161566828933883,-0.5028773531306131,1.450743650088876,2.333585023880005
FRA,2015,-2.4040007432315065,4.800216306453882,4.377704809024858,10.617929169100044,3.1984077147363146,-0.4820487787172119,1.4423792689861112,2.333585023880005
GBR,1990,-1.5423925477613567,5.466492326472917,4.358502089626924,9.730262342384584,3.8984532989689487,-0.7339575554107197,1.5066890191239717,2.333585023880005
GBR,1991,-1.5312546475697204,5.469584805796111,4.35814369421055,9.749489621293465,3.8720368783266013,-0.7968700653836112,1.4073405962327858,2.333585023880005
GBR,1992,-1.561071411693626,5.47228911761693,4.35891152716783,9.773022460542755,3.8361644746879393,-0.7752113495769193,1.3798794438589543,2.333585023880005
GBR,1993,-1.5993447427334146,5.474686572009795,4.359678771009974,9.818990241187386,3.832342091300412,-0.7035545455623217,1.4731375373119444,2.333585023880005
GBR,1994,-1.650944117251296,5.477232436878384,4.36045819925579,9.875783303494075,3.8228677052860998,-0.6615171488567381,1.558235518633836,2.333585023880005
GBR,1995,-1.705098281292491,5.479877911046972,4.3612242577945874,9.928983780023263,3.8593484754218266,-0.6765315342804163,1.5617619723604534,2.333585023880005
GBR,1996,-1.7279847900311338,5.482424174889122,4.3619897299368855,9.991529547884634,3.8742359276272063,-0.6513657734010418,1.6190690792826643,2.333585023880005
GBR,1997,-1.812388393477663,5.484999708121926,4.3627418732620145,10.044752070707121,3.8753671384896218,-0.6811692393384341,1.6283339704715385,2.333585023880005
GBR,1998,-1.831207838759469,5.487913768976248,4.363506185036503,10.070565904158128,3.924576721982144,-0.7142438539492009,1.6330091793872945,2.333585023880005
GBR,1999,-1.8643835783224083,5.4912478277980945,4.364257189062305,10.10294008753622,3.9903548444961956,-0.7085504601685229,1.626213288100593,2.333585023880005
GBR,2000,-1.9426278834114021,5.494820836672307,4.365020343981627,10.181628006094751,4.0182675550142335,-0.6513925867126485,1.6484251356035828,2.333585023880005
GBR,2001,-1.992464480797312,5.498670596367952,4.366290976037817,10.231246670112759,3.9938703950688814,-0.6486782096623764,1.6627708625112603,2.333585023880005
GBR,2002,-2.0651518915070626,5.502903967164315,4.3700426122712,10.277413621466605,3.9723442585704487,-0.6773007949246025,1.6797656012932316,2.333585023880005
GBR,2003,-2.0930549343821045,5.507560378300344,4.373729811023894,10.317649913762672,3.9706329845485726,-0.6948345228714679,1.6402313514514397,2.333585023880005
GBR,2004,-2.1577952907137363,5.513249809434559,4.377378348109374,10.372390003262149,3.9106900989901785,-0.6936684779961777,1.6157452979488762,2.333585023880005
GBR,2005,-2.181763437732942,5.520115922495292,4.380963569820617,10.394158212216368,3.835936961242891,-0.6472229535223966,1.627884518594367,2.333585023880005
GBR,2006,-2.267897548155817,5.527466409279506,4.384511045966802,10.456256175268754,3.745051061073132,-0.5752583069377725,1.7131843747903641,2.333585023880005
GBR,2007,-2.336324446521265,5.535253070403918,4.387996280826917,10.480027891153215,3.7078597905187944,-0.6451377799010324,1.5616561979166503,2.333585023880005
GBR,2008,-2.3891612551993204,5.543123396627107,4.3914446456521405,10.509446774067852,3.6329918237569587,-0.5774978188408727,1.502583023116486,2.333585023880005
GBR,2009,-2.4102045908243133,5.550687305223041,4.394831797504715,10.463959962680187,3.5855482741536147,-0.6096916775210833,1.473168226707276,2.333585023880005
GBR,2010,-2.4210142557962975,5.558526191689507,4.398170616497186,10.501442360820379,3.553560806919925,-0.5353490794098337,1.4807599715618227,2.333585023880005
GBR,2011,-2.5259881080407576,5.566341257311874,4.401461547312489,10.523030014749274,3.560682200751133,-0.47313084789128884,1.5124616085038274,2.333585023880005
GBR,2012,-2.532962659549141,5.573294788635095,4.404729464079995,10.55351575877624,3.596642010756379,-0.4922914795549298,1.4709102576592243,2.333585023880005
GBR,2013,-2.5936500351052585,5.579992193990504,4.4079623766976015,10.595909371781296,3.57707976680636,-0.49131984315576044,1.475084404307116,2.333585023880005
GBR,2014,-2.698554227370485,5.587356833777719,4.411160589398945,10.627792694967313,3.574152038904503,-0.5378818635368614,1.452313040749251,2.333585023880005
GBR,2015,-2.7330650206583806,5.5952805088357485,4.414324400973044,10.657686116925708,3.5558009226664957,-0.5676941501236966,1.4543466461489174,2.333585023880005
