Country Code,Year,EG.GDP.PUSE.KO.PP,EG.GDP.PUSE.KO.PP.KD,EN.POP.DNST,IP.PAT.NRES,IP.PAT.RESD,NE.EXP.GNFS.CD,NE.IMP.GNFS.CD,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.PP.CD,NY.GDP.PCAP.PP.KD,SP.POP.TOTL,SP.URB.TOTL.IN.ZS
AGO,1993,4.82794461528524,7.86141043567158,10.4877267987487,,,,,,,5768720421.61367,2316.5436426806,3772.0607460162396,13075049.0,41.511
AGO,1994,4.92968973213685,7.85925851168584,10.831593005534598,,,,,,,4438321017.390679,2321.58128787376,3701.22837109739,13503747.0,43.0
AGO,1995,5.79264188711019,9.045371428427071,11.185695034892099,,,,,,60.285175787363606,5538749259.94714,2639.51027498998,4121.668712088271,13945206.0,44.169
AGO,1996,6.50880451830514,9.98092547267638,11.551070024865599,,,,,,67.8206759362436,7526446605.51712,2955.3563810763,4531.8908720893705,14400719.0,45.346000000000004
AGO,1997,6.95129187789755,10.4787628089869,11.928747894441301,,,,,,60.757741389497006,7648377412.83277,3122.89880893322,4707.63082173677,14871570.0,46.525
AGO,1998,7.37791070099605,10.9980859731022,12.3202061442207,,,,,,55.1572893027623,6506229607.29432,3201.1463008734004,4771.8769793094,15359601.0,47.71
AGO,1999,7.28102761200303,10.699189265328199,12.7270947300874,,,,,,72.7173723137849,6152922942.98032,3212.12157733704,4720.08877462819,15866869.0,48.897
AGO,2000,7.46808456126737,10.734104088028399,13.151097296863698,,,8187952996.90344,5738980003.82281,152.547109454858,72.1229549419033,9129594818.60749,3275.12862821245,4707.44155459161,16395473.0,50.086999999999996
AGO,2001,7.61770471889074,10.714150773119998,13.592486564530402,,,6736804052.06298,6697298360.22468,150.335794690093,64.8838115415289,8936063723.20121,3374.48199675,4746.14207672036,16945753.0,51.273999999999994
AGO,2002,8.40740191764695,11.6407157037078,14.0526325499318,,,8725781181.80022,7370216539.322129,105.301742600149,56.0757965388459,15285594828.418001,3768.7164453832,5218.08724482539,17519417.0,52.461000000000006
AGO,2003,8.17315552748979,11.110058606389801,14.535557070666599,,,9676099739.566229,8831519590.16866,103.901226814948,53.116996388779896,17812705294.325,3822.12762812961,5195.552905704149,18121479.0,53.645
AGO,2004,9.0513113084036,11.981207221758002,15.0462380685008,,,13749769575.3243,10645428494.1358,103.579924362095,54.62992131135489,23552052407.5488,4207.12052604953,5568.959138850021,18758145.0,54.827
AGO,2005,11.109343795014698,14.2611937781669,15.5880340097858,,,24225663183.7639,15181994765.8936,106.590962129525,60.4019934569532,36970918699.2523,4816.70630376003,6183.26187738155,19433602.0,56.0
AGO,2006,11.6364611471741,14.4990883645214,16.1625900376995,,,33245105956.2189,16320505275.1029,94.62515933204772,58.109331166465,52381006892.037994,5338.74047318897,6652.0971364916895,20149901.0,56.763999999999996
AGO,2007,12.7717064896051,15.4973087680708,16.7685593968076,,,44319695565.281,26207276865.8555,108.060067893978,61.8835378515421,65266452081.385994,6024.33958444986,7309.99030864963,20905363.0,57.523999999999994
AGO,2008,13.371729906888199,15.9157995555285,17.4024496671212,,,64168383679.8013,43286243193.0314,121.36470790563999,60.25482012507171,88538611205.1433,6578.6051801659605,7830.233046252791,21695634.0,58.282
AGO,2009,12.5045915137834,14.771074441674301,18.0591008261811,,,41310593206.4512,44777816509.1355,122.44614234414499,44.0563761691749,70307163678.23799,6442.5796177932,7610.31042285072,22514281.0,59.034
AGO,2010,12.645802128122199,14.765820961005002,18.7344557632149,,,51572818660.8665,35682259098.1843,104.123629959119,52.3684348885467,83799496611.2004,6587.98690078045,7692.436911854091,23356246.0,59.783
AGO,2011,12.8612472355252,14.7101046588535,19.427818240154,,,67822745138.1171,43947386910.9212,99.9825078537909,56.026514743023995,111789686464.441,6710.75034592031,7675.448432034921,24220661.0,60.528
AGO,2012,13.420444091352401,14.5496368656115,20.139513114622602,,,71632934595.8855,45919711316.8811,91.80009860646759,56.9182197485493,128052853643.106,7412.96526317885,8036.690287033271,25107931.0,61.268
AGO,2013,14.393102941563301,15.251266129415601,20.8677147669848,,,69376269461.8533,49304202033.1896,86.8119307833605,53.3628539821467,136709862831.194,7682.47715828865,8140.531207893291,26015780.0,62.001999999999995
AGO,2014,15.0186485489535,15.1298035871718,21.6104748536135,,,65126113465.185,50471640780.8965,79.33292750926971,46.2033255675024,145712200312.505,8179.296006576479,8239.83207659947,26941779.0,62.731
AGO,2015,,,22.366552498596302,,,34572954933.6294,38499512246.7219,62.8885207850511,41.9330926455315,116193649124.151,7337.56955890673,8036.41409222015,27884381.0,63.446000000000005
AGO,2016,,,23.1350637683484,,,28440561886.9778,25529394463.6446,53.370155278546704,42.643566778715,101123851090.455,7103.22593805783,7568.99722478798,28842484.0,64.149
AGO,2017,,,23.9165380604797,,,35420915616.9387,28397112166.3975,52.256821448817995,42.167953548677104,122123822333.591,7310.901738035359,7310.901738035359,29816748.0,64.839
AGO,2018,,,24.713052057431604,,,41388899132.5883,25887360494.1475,66.3780119350296,47.93154163201861,101353230784.59401,7097.1187681806705,6933.509308206079,30809762.0,65.514
AGO,2019,,,,,,,,,,94635415869.9851,6929.67815844764,6653.90767287624,31825295.0,66.17699999999999
ALB,1980,,,97.51813868613141,,,,,47.4940925041872,,,,,2671997.0,33.762
ALB,1981,,,99.491094890511,,,,,46.1004662837047,,,,,2726056.0,34.024
ALB,1982,,,101.61598540146,,,,,44.8105616083383,,,,,2784278.0,34.287
ALB,1983,,,103.79416058394199,,,,,40.4106676033234,,,,,2843960.0,34.552
ALB,1984,,,106.00105839416099,,,335069933.049631,372867136.182956,38.1156830212927,,1857338011.85488,,,2904429.0,34.817
ALB,1985,,,108.20299270073,,,319090900.273501,362610725.835338,35.934823972195794,,1897050133.42015,,,2964762.0,35.083
ALB,1986,,,110.315145985401,,,327312512.5,336224987.5,31.637304878056103,,2097326250.0,,,3022635.0,35.35
ALB,1987,,,112.540328467153,,,333550012.5,335624987.5,32.159563916938,,2080796250.0,,,3083605.0,35.619
ALB,1988,,,114.683795620438,,,348287487.5,408575012.5,36.89787073527,,2051236250.0,,,3142336.0,35.888000000000005
ALB,1989,,,117.808138686131,,,418924987.5,483800000.0,40.066086463478996,,2253090000.0,,,3227943.0,36.158
ALB,1990,3.13416241856604,6.059444083525911,119.946788321168,,,312500000.0,487500000.0,39.436963403114206,,2028553750.0,2548.87543752093,4927.87741249129,3286542.0,36.428000000000004
ALB,1991,3.3322748815537406,6.23172384532292,119.225912408759,,,82300000.0,314316659.72222203,36.0705200632829,,1099559027.77778,1908.66655120725,3569.41827511617,3266790.0,36.7
ALB,1992,4.35796931649692,7.968296102960401,118.505072992701,,,81519209.67580721,627952433.9452901,108.785472241159,,652174990.837304,1822.8802979825302,3333.03172181427,3247039.0,37.249
ALB,1993,4.988052244350611,8.90928064757012,117.784197080292,,,189399541.45744,764996711.818738,80.518332770413,,1185315468.46295,2056.9674002274,3673.99917919553,3227287.0,37.799
ALB,1994,5.188306075010599,9.07321142569938,117.063357664234,,,225407481.032684,773426393.922004,53.1025847356112,,1880951520.3972,2289.33639996628,4003.54814868956,3207536.0,38.354
ALB,1995,6.3906891910509005,10.946388946315802,116.342481751825,,,302465325.386337,836744255.238814,47.6105948729712,,2392764853.42107,2665.1400635360897,4565.02559578827,3187784.0,38.911
ALB,1996,6.652618713600139,11.1901439161794,115.621642335766,,,371808985.54912996,1064684221.5564,44.895427261101,17.3736634617993,3199642579.96974,2979.3677751639198,5011.49331092049,3168033.0,39.473
ALB,1997,7.06386063815447,11.6804631229235,114.90076642335801,9.0,,230303544.648943,795638991.138378,45.42552334836721,18.1095774942395,2258515610.0886197,2716.7251877661897,4492.247228013121,3148281.0,40.035
ALB,1998,7.080217757786289,11.5303008016637,114.179927007299,,,291949986.768987,933614580.5768721,48.13748353540029,15.346892039907301,2545967253.2416,3021.00727264605,4919.7812509814,3128530.0,40.601
ALB,1999,6.02525769530818,9.700420612183061,113.459051094891,,,540977914.554671,1097558435.9160001,51.011071754770896,16.536447637076098,3212119044.17089,3471.65486432089,5589.2235829959,3108778.0,41.169
ALB,2000,6.653414101791481,10.363396563077801,112.738211678832,,,700083398.144547,1508343772.56819,63.4540743986735,19.395645629692897,3480355188.6006303,3862.27205020377,6015.8974442874405,3089027.0,41.74100000000001
ALB,2001,7.20176529126235,11.010258982128198,111.68514598540101,120.0,,836717875.5394679,1771127105.66616,66.4910464537142,21.735660423171396,3922099470.9731297,4301.364166217199,6576.045112710961,3060173.0,42.435
ALB,2002,7.06216414398584,10.4465756854584,111.35072992700701,238.0,,910729684.956035,2068787044.40985,68.5250379172273,23.106395413015104,4348070165.19261,4661.36720669305,6895.24122204126,3051010.0,43.501000000000005
ALB,2003,7.70569125773042,11.2684108957726,110.934890510949,391.0,,1169850310.53175,2591005963.8986697,67.0206085093238,24.055582757171198,5611492282.86582,4994.5854737009795,7303.827715035691,3039616.0,44.573
