year,ISG,TO,P_GDP,P_GDPb,P_GDPl,FX,EI,EIb,EIl,TI,EIc
1978,25.3244196150379,12.9030118429794,205.693386086224,,21690.1800042686,8.19284034840393,1.358239394763219,,0.012880522898821871,,
1979,25.9922062251217,14.9188045314645,224.00101683980802,,20087.68693791,8.12579094635689,1.274716431682207,,0.014214567250167153,,
1980,25.3362458948906,15.384576848250699,266.577848118397,,20951.2530162903,7.86294470113798,1.0734719042310228,,0.0136585544560491,3024.0,
1981,26.1029192061902,14.507264761447198,270.470602438399,,21699.4803646711,8.65852281709317,1.0860395084037318,,0.013536810797925864,2901.0,
1982,26.1498047867777,14.1259277497044,274.111331421581,,21936.8626878556,9.45513193348639,1.0874557303960168,,0.013588266579518749,3076.0,
1983,26.2988432861731,13.690593886683901,291.238110137317,,22995.9822963916,10.098898244046099,1.0324961500633445,,0.01307629409315072,,
1984,26.7391386539062,14.009375944343601,276.667958643143,,23332.7281273934,11.3625833326667,1.1062600418256985,,0.013117484840577278,3294.0,
1985,26.6290712212015,12.900036194129699,296.435151551022,,24009.933035166,12.3687499995833,1.0622830854593917,,0.013115323852300152,3475.0,
1986,26.7308358201425,12.2192718991954,310.465935085896,,24604.218870252098,12.610833333250001,1.0270605781729407,,0.012959863691419677,3496.0,
1987,26.699236516689602,12.584814035678699,340.41683161231003,,25027.2847749895,12.9615,0.9514309858569489,,0.012941200957878773,3508.0,
1988,26.711583816485895,13.4904501163151,354.149251617083,,26854.131729355,13.917083333333302,0.94383039457477,,0.012447128481414485,3537.0,
1989,27.550993481954304,15.1681320906055,346.11288727162497,,27856.9657159294,16.2255,0.9901422551976968,,0.012302165219672395,3648.0,
1990,27.453695495932397,15.506261510216,367.556609311203,1236.6712081941698,28794.372959778597,17.5035,0.9524403180173036,0.28307906866604965,0.012157782853987723,3820.0,0.187986
1991,26.441720176925397,16.9877265511351,303.05560534270097,1265.91748059867,28511.1588264963,22.742433333333302,1.1792118466965291,0.28229862175447434,0.0125342769195263,3595.0,0.193801
1992,26.7927432696344,18.433099041828,316.95392789531104,1338.66459528565,29477.806638742597,25.9180833333333,1.1455240450814,0.2712242834132771,0.012317006826073758,3424.0,0.190443
1993,26.7815542820739,19.651539786468398,301.159004220577,1407.4738024954002,30275.6906062479,30.4932916666667,1.2103722508595185,0.2589849282869777,0.012039841024463609,3720.0,0.186177
1994,27.628201246504002,20.0781443763393,346.102950322606,1503.74541713472,31670.276242940097,31.3737425,1.0725881203953929,0.2468675273884915,0.011721587462710473,4800.0,0.181246
1995,28.599809423727997,22.8674487058705,373.766480007829,1620.17538748404,33421.6049788222,32.4270766666667,1.0303006747934025,0.23768528984089046,0.011522243076334506,6566.0,0.178168
1996,27.9122703698412,21.9294878713867,399.950076763934,1741.08440369035,35269.9591308729,35.43317333333329,0.9736878191534828,0.2236689486099159,0.011041309023623613,8562.0,0.170727
1997,27.837030762590004,22.6193868664624,415.49379698177694,1808.7083638179502,36018.7452186409,36.313285833333296,0.9563998009092816,0.21970274073018545,0.011032538260293323,10155.0,0.170594
1998,27.303037851602397,23.699470078930997,413.298934242221,1906.77989953013,37549.1255789042,41.259365,0.9666098749954308,0.2095149163582345,0.010639364432711688,8954.0,0.164511
1999,26.519293348859602,24.815598044292898,441.998759593395,2067.74099448989,40139.307630660296,43.0554283333333,0.9388318015561552,0.20068397969593088,0.010338058034605585,4826.0,0.159869
2000,27.3258283772087,26.9009229100702,443.31419339174005,2156.68991916578,40950.558639418196,44.941604999999996,0.9412908379772554,0.19348520381934706,0.010190034091091718,8538.0,0.15759
2001,26.4877773440307,25.9932547534365,451.573001074356,2270.71856303313,42190.286688768,47.1864141666667,0.9212562383609734,0.18320828088860225,0.009860431795214356,10592.0,0.152762
2002,27.660654161010104,29.5086629352982,470.9867859491599,2354.2650996576604,43061.4633954136,48.6103191666667,0.8944422702009978,0.17893927498661732,0.00978300449733222,11465.0,0.151795
2003,27.474107121297198,30.5924361330175,546.726614478728,2544.1122509644397,45685.502152261106,46.5832841666667,0.7760630895974946,0.16677500980418433,0.009287286460887471,12613.0,0.144338
2004,29.219106305293003,37.503814059446995,627.774247283919,2774.42085837585,48515.103831732005,45.3164666666667,0.7004158108359289,0.15848461025869154,0.00906321895050108,17466.0,0.140846
2005,29.533764191626396,42.0016696151004,714.861013495661,3039.1286982289303,51538.540125228494,44.099975,0.629165456445059,0.1479917109508652,0.008726786881388811,24382.0,0.132845
2006,30.927239943678003,45.724480499050294,806.753280628799,3331.5921266112896,54838.6994843683,45.3070083333333,0.5777953090159942,0.13991456437817731,0.00850016987024749,28928.0,0.125987
2007,30.903238251149997,45.686268679441206,1028.33477107667,3628.0013375589397,58155.4394814716,41.3485333333333,0.4717331766720541,0.133709881311323,0.008341431731366769,35218.0,0.122235
2008,31.136719240773502,53.368220439222604,998.5223390192681,3757.2891835834102,59078.714154845096,43.5051833333333,0.5023018667950399,0.13348976094716766,0.008489684349109934,36812.0,0.124396
2009,31.121372111349803,46.2728696431018,1101.96084002239,4026.3808327724896,62830.8557003513,48.4052666666667,0.4942340765730832,0.13526455166764376,0.008668139119186305,34287.0,0.127117
2010,30.725078228098003,49.25520649748071,1357.56371913262,4360.15405040966,67255.6225108741,45.7258121212121,0.4137215769462592,0.12881503639345165,0.008351025263259827,39762.0,0.121245
2011,30.161677711158198,55.6238654419115,1458.10352686177,4624.561403962971,69874.50960441309,46.6704666666667,0.3964012502776043,0.12498354126877502,0.00827188719254618,42291.0,0.119147
2012,29.3985276966295,55.79372172875111,1443.87952939042,4909.584075849079,72785.13218369799,53.4372333333333,0.4149614991881672,0.12203771335952407,0.008231824222710543,43955.0,0.118036
2013,28.404899560113602,53.844131946677706,1449.6059123387,5252.27239741271,76522.6173563273,58.5978454166667,0.41790126269256733,0.11533905619049185,0.007916510988536695,43031.0,0.11269
2014,27.656401202965103,48.9221857470669,1573.88149211052,5682.73128543749,81256.8665988501,61.02951446078429,0.4044587593076063,0.11201834533818153,0.007834047536423628,42854.0,0.110914
2015,27.34739147794,41.9229138658647,1605.60543109026,6133.8870151846495,86779.92812077451,64.1519444632786,,,,45658.0,0.104291
2016,26.6421680349534,40.1588889134105,1729.26802051544,6634.8445736536205,92851.9279390434,67.1953128073894,,,,45057.0,0.100381
2017,26.4981745253768,40.766680457682796,1981.26870609561,7168.992484447529,98455.68527211789,65.121568645066,,,,46582.0,0.097834
2018,26.7463909887849,43.3776530853232,2009.9788572703897,7762.88176956734,104076.635424709,68.3894670935421,,,,50055.0,0.094514
2019,,,,,,,,,,,
